timestamp,professional_experience,programming_languages,full_time,season,data_visualization,python,mathematics,statistics,machine_learning,business_strategy,communication,fruit,degree,terminal,why,regression,databases,cloud,api
9/22/2015 20:51:41,1,"C/C++, Matlab/Octave",No,Fall,7,1,10,8,2,8,9,Oranges,MSDS,1,"First, this is a required. : ) Second, I love to planning and I recognized that getting data and using them in the right way can help me plan events that gain more pleasures from the participants. I took intro. class back in my undergraduate in Syracuse University and it was one of  my favorite classes I've took, cuz instead of reciting stuff, I really learned how to complete some real life task and have fun with the knowledge I just earned. I hope this intro class will give me a good idea on what is going on in the ""datalized"" world. ",No,No,No,No
9/22/2015 22:11:41,1,"Python, C/C++, Matlab/Octave",No,Summer,7,5,7,7,1,7,6,Apples,MS systems engineering,4,Lear more about programming language practices and projects in business strategy,Yes,Yes,No,No
9/23/2015 1:11:15,5,"Python, Java, JavaScript",No,Fall,7,7,8,7,4,7,8,Apples,MSIS,8,I hope to understand the process of analyzing the data so as to create models that can predict future outcomes.  I can utilize these skills later on in my profession.  ,No,Yes,Yes,Yes
9/23/2015 1:49:38,5,"Java, C/C++, JavaScript, Matlab/Octave",No,Summer,8,2,7,5,1,1,8,Apples,MS in Scientific Computing,6,"I've always been interested in how information can be extracted from large sets of data, and how the process can be automated with computers. Especially nowadays when data is everywhere and computer processing is scaling fast enough to deal with it. I'm hoping to finally learn practical applications to all of the statistics I've been learning, how to manipulate huge datasets, and how to extract information from them.  I'm also very interested in machine learning for classifying images or object/text recognition (not sure if that's part of this class, but I hope so!). PS - I actually don't prefer either fruit, but I'll have a sip of cider if offered...",Yes,No,No,No
9/23/2015 10:11:22,6,"Python, Java, JavaScript",Yes,Fall,1,7,7,4,3,1,7,Oranges,MSDS,7,Get some understanding of the concepts of Data science and get a direction to which areas I would be interested in Data science.,Yes,Yes,Yes,Yes
9/23/2015 11:45:44,1,"Python, Java, C/C++",No,Fall,2,5,4,2,2,3,7,Apples,SOE/MS-MOT,7,I am taking this class to learn the basics of data science and analytics along with understanding statistics and visualizations along the way. I aim to learn the foundations of data analytics which I can utilize in my future.,No,Yes,No,Yes
9/23/2015 13:24:17,2,Java,No,Summer,1,1,3,2,1,1,2,Apples,MSIS,1,I am taking this class to know how data mining can be applied to real world problems,No,Yes,No,No
9/23/2015 13:34:04,1,"Python, Java, C/C++, Perl, R, Matlab/Octave",Yes,Fall,8,7,8,9,5,3,7,Oranges,Data Science,5,"I am thinking about pursuing a part-time data science masters degree at NYU, and I hope to learn more practical data science techniques in this class.",Yes,No,No,No
9/23/2015 17:53:51,1,Python,No,Summer,4,8,6,3,1,4,4,Oranges,MSIS,7,"To take one foot forward in my dream towards becoming a business analytic. I hope that at the end of the class, if given various data sets, I could analyze and get solutions on my own.",No,Yes,No,No
9/24/2015 11:02:04,2,"Python, Java",Yes,Spring,3,5,10,6,6,3,5,Apples,MSDS,4,"At work, I do a very particular brand of data science. It involves using a lot of regression and using a lot of in house tools to the point where I don't feel prepared to really do much outside of work. My ideal is to know things well enough to be able to help with any company's data problems using only tools that are easily available to me. Also, I'm generally interested in doing volunteer data analysis for non-profits. Finally, I LOVE learning.",Yes,No,No,No
9/24/2015 12:54:19,2,"Python, Matlab/Octave, SAS/SPSS, Stata",No,Fall,1,7,9,6,4,3,3,Apples,MSDS,3,I am interested in getting a more business-oriented perspective of data science and its applications in actual real-world problems. I would like to learn more about data analytics and how to communicate my data-related ideas in a more effective and engaging way. I am also interested in interacting and collaborating with other students in the class.,Yes,No,Yes,Yes
9/24/2015 15:19:17,1,"Python, Java, C/C++, R, Matlab/Octave",Yes,Summer,7,8,7,8,8,5,6,Apples,MSDS,8,"It's one of my prerequisite course, and most importantly I want to learn the business approach of data science. ",Yes,Yes,No,Yes
9/24/2015 17:40:51,1,"Python, C/C++, R, Matlab/Octave",No,Fall,3,5,3,3,5,3,3,Oranges,MSDS,5,"I want to improve my communicating and presentation skills, plus grab some statistics knowledge.",No,No,Yes,Yes
9/24/2015 18:12:59,4,"Python, R, SAS/SPSS",Yes,Fall,3,1,6,8,1,9,7,Apples,Visiting Scholar,2,I want to get a general overview of topics od relevance in data science. I want to attain first experience in handling big data.,Yes,No,No,No
